ComplexName	GO description	FunCat description	subunits(Gene name)
MCL1-BAK1 complex	regulation of apoptosis;mitochondrial outer membrane	regulation of programmed cell death;mitochondrial outer membrane	MCL1;BAK1;
IKBKG-IKBKB  complex	NIK-I-kappaB/NF-kappaB cascade	I-kappaB kinase/NF-kappaB signaling	IKBKB;IKBKG;
IKBKG-CHUK complex	NIK-I-kappaB/NF-kappaB cascade	I-kappaB kinase/NF-kappaB signaling	CHUK;IKBKG;
"DJ-1-SNCA complex, high molecular weight complex"	None	None	SNCA;PARK7;
PINK1-MIRO2-Milton complex	"vesicular transport (Golgi network, etc.);mitochondrial outer membrane"	vesicle-mediated transport;mitochondrial outer membrane	RHOT2;PINK1;TRAK1;
MIRO2-Milton complex	"vesicular transport (Golgi network, etc.);mitochondrial outer membrane"	vesicle-mediated transport;mitochondrial outer membrane	RHOT2;TRAK1;
PPD complex	proteasomal degradation (ubiquitin/proteasomal pathway);cytoplasm	proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;cytoplasm	PARK2;PARK7;PINK1;
AIF-CYPA-DNA complex	apoptosis (type I programmed cell death);nucleus	apoptotic process;nucleus	AIFM1;PPIA;
HSP90-CDC37-LRRK2 complex	cellular signalling	intracellular signal transduction	HSP90AB1;CDC37;LRRK2;
"p65-p65 Nf(kappa)B complex, Il-1-beta induced"	transcription activation;DNA binding;NIK-I-kappaB/NF-kappaB cascade	"positive regulation of transcription, DNA-templated;DNA binding;I-kappaB kinase/NF-kappaB signaling"	RELA;
AK2-FADD-caspase-10 (AFAC10) complex	induction of apoptosis by intracellular signals	intrinsic apoptotic signaling pathway	AK2;FADD;CASP10;
FAS-FADD-CASP8-CASP10 complex	apoptosis (type I programmed cell death)	apoptotic process	FAS;FADD;CASP8;CASP10;
FAS-FADD-CASP10 complex	apoptosis (type I programmed cell death)	apoptotic process	FAS;FADD;CASP10;
CAV1-VDAC1-ESR1 complex	ion channels;eukaryotic plasma membrane / membrane attached	ion channel activity;plasma membrane	ESR1;VDAC1;CAV1;
FE65-TSHZ3-HDAC1 complex	transcription repression;nucleus	"negative regulation of transcription, DNA-templated;nucleus"	APBB1;HDAC1;TSHZ3;
BRAF-MAP2K1-MAP2K2-YWHAE complex	cellular signalling	signaling	BRAF;MAP2K2;YWHAE;MAP2K1;
RAF1-MAP2K1-YWHAE complex	cellular signalling	signaling	RAF1;YWHAE;MAP2K1;
PPP2R1A-PPP2R1B-PPP2CA-PPME1-EIF4A1 complex	"modification by phosphorylation, dephosphorylation, autophosphorylation;kinase inhibitior"	protein phosphorylation;protein dephosphorylation;protein autophosphorylation;negative regulation of protein kinase activity;kinase inhibitor activity	PPP2R1A;PPP2R1B;EIF4A1;PPP2CA;PPME1;
MAP2K1-BRAF-RAF1-YWHAE-KSR1 complex	cellular signalling	signaling	RAF1;BRAF;YWHAE;MAP2K1;KSR1;
"Ksr1-PP2A holoenzyme complex (Ppp2r1a, Ppp2r2b, Ppp2ca), PDGF stimulated"	"modification by phosphorylation, dephosphorylation, autophosphorylation;MAPKKK cascade;eukaryotic plasma membrane / membrane attached"	protein phosphorylation;protein dephosphorylation;protein autophosphorylation;MAPK cascade;plasma membrane	PPP2CA;KSR1;PPP2R2B;PPP2R1A;
"Ksr1-PP2A core enzyme complex (Ppp2r1a, Ppp2ca), untreated"	"modification by phosphorylation, dephosphorylation, autophosphorylation;MAPKKK cascade"	protein phosphorylation;protein dephosphorylation;protein autophosphorylation;MAPK cascade	PPP2CA;KSR1;PPP2R1A;
"Raf1-PP2A holoenzyme complex (Ppp2r1a, Ppp2r2b, Ppp2ca), PDGF stimulated"	"modification by phosphorylation, dephosphorylation, autophosphorylation;MAPKKK cascade;eukaryotic plasma membrane / membrane attached"	protein phosphorylation;protein dephosphorylation;protein autophosphorylation;MAPK cascade;plasma membrane	PPP2CA;PPP2R2B;PPP2R1A;RAF1;
"Raf1-PP2A core enzyme complex (Ppp2r1a, Ppp2ca), untreated"	"modification by phosphorylation, dephosphorylation, autophosphorylation;MAPKKK cascade;cytoplasm"	protein phosphorylation;protein dephosphorylation;protein autophosphorylation;MAPK cascade;cytoplasm	PPP2CA;PPP2R1A;RAF1;
"Ksr1 complex (Ksr1, Mek, 14-3-3), unstimulated"	"modification by phosphorylation, dephosphorylation, autophosphorylation;MAPKKK cascade;cytoplasm"	protein phosphorylation;protein dephosphorylation;protein autophosphorylation;MAPK cascade;cytoplasm	MAP2K1;YWHAZ;KSR1;
"Lebercilin complex (Lca5, Ncl, Npm1, Ywhae, HSPA1A/B, Dctn1, Dctn2)"	microtubule cytoskeleton	microtubule cytoskeleton	DCTN1;NCL;HSPA1A;YWHAE;NPM1;LCA5;DCTN2;
"Ksr1 complex (Ksr1, Mek, 14-3-3, Mapk), EGF stimulated"	"modification by phosphorylation, dephosphorylation, autophosphorylation;MAPKKK cascade;eukaryotic plasma membrane / membrane attached"	protein phosphorylation;protein dephosphorylation;protein autophosphorylation;MAPK cascade;plasma membrane	MAP2K1;MAPK1;YWHAZ;KSR1;
Ksr1-CK2 complex	"modification by phosphorylation, dephosphorylation, autophosphorylation;MAPKKK cascade;eukaryotic plasma membrane / membrane attached"	protein phosphorylation;protein dephosphorylation;protein autophosphorylation;MAPK cascade;plasma membrane	CSNK2A2;CSNK2B;CSNK2A1;KSR1;
Ksr1-Brap (IMP) complex	MAPKKK cascade	MAPK cascade	KSR1;BRAP;
KSR1 homooligomer complex	MAPKKK cascade	MAPK cascade	KSR1;
BRAF-RAF1-14-3-3 complex	MAPKKK cascade	MAPK cascade	RAF1;BRAF;YWHAZ;
KSR1-RAF1-MEK complex	MAPKKK cascade	MAPK cascade	RAF1;MAP2K1;KSR1;
KSR1-BRAF-MEK complex	MAPKKK cascade	MAPK cascade	BRAF;MAP2K1;KSR1;
"RAF1-RAS complex, EGF induced"	cellular signalling;eukaryotic plasma membrane / membrane attached	signaling;plasma membrane	HRAS;RAF1;
"RAF1-BRAF complex, RAS stimulated"	cellular signalling	signaling	RAF1;BRAF;
"RAF1-CNK1 complex, RAS stimulated"	cellular signalling	signaling	RAF1;CNKSR1;
"BRAF-CNK1 complex, not RAS stimulated"	cellular signalling	signaling	BRAF;CNKSR1;
CNK1 homodimer complex	cellular signalling	signaling	CNKSR1;
CNK1-SRC-RAF1 complex	cellular signalling	signaling	RAF1;SRC;CNKSR1;
"Ksr1-CK2-MEK-14-3-3 complex, PDGF treated"	"modification by phosphorylation, dephosphorylation, autophosphorylation;MAPKKK cascade;eukaryotic plasma membrane / membrane attached"	protein phosphorylation;protein dephosphorylation;protein autophosphorylation;MAPK cascade;plasma membrane	CSNK2A2;MAP2K1;YWHAZ;CSNK2B;CSNK2A1;KSR1;
"Ksr1-Mek-Braf-Erk complex, EGF induced"	MAPKKK cascade	MAPK cascade	BRAF;MAP2K1;KSR1;MAPK3;
p18-p14-Mp1 complex	vacuolar/lysosomal transport;MAPKKK cascade;endosome;endosome	vacuolar transport;MAPK cascade;endosome organization;endosome	LAMTOR3;LAMTOR1;LAMTOR2;
ALB-TGFbetaRII complex	TGF-beta-receptor signalling pathway	transforming growth factor beta receptor signaling pathway	ALB;TGFBR2;
"Gamma-secretase complex (APH1A, PSENEN, PSEN1, NCSTN, TMP21)"	protein processing (proteolytic);regulator of transcription factor;cellular signalling;Notch-receptor signalling pathway;eukaryotic plasma membrane / membrane attached;Golgi	protein processing;regulation of sequence-specific DNA binding transcription factor activity;signaling;Notch signaling pathway;plasma membrane;Golgi apparatus	TMED10;PSEN1;NCSTN;APH1A;PSENEN;
LRRK2-CHIP-HSP90 complex	proteasomal degradation (ubiquitin/proteasomal pathway)	proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process	HSP90AB1;LRRK2;STUB1;
LRRK2-FADD-CASP8	apoptosis (type I programmed cell death)	apoptotic process	FADD;CASP8;LRRK2;
Calcineurin	Ca2+ mediated signal transduction	calcium-mediated signaling;calcineurin complex;calmodulin binding;phosphatase activity	PPP3R1;PPP3CA;
Ubiquitin-conjugating enzyme E2 (UBC13-UEV1A)	"modification by ubiquitination, deubiquitination;NIK-I-kappaB/NF-kappaB cascade"	protein ubiquitination;protein K63-linked ubiquitination;I-kappaB kinase/NF-kappaB signaling	UBE2N;UBE2V1;
PARK2-EPS15-EGFR	vacuolar/lysosomal transport;EGF-receptor signalling pathway	vacuolar transport;epidermal growth factor receptor signaling pathway	PARK2;EGFR;EPS15;
CHIP-HSC70 complex	"modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway)"	protein ubiquitination;protein deubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process	HSPA8;STUB1;
dynein complex	cytoskeleton-dependent transport	cytoskeleton-dependent intracellular transport	DYNC1I1;DYNLL1;DYNC1H1;DYNC1LI1;
DISC-FEZ1 complex	cell growth / morphogenesis	cell morphogenesis;cell growth	FEZ1;DISC1;
DISC-FEZ1-F-actin complex	cell growth / morphogenesis	cell morphogenesis;cell growth	ACTG1;FEZ1;DISC1;
PDE4B-DISC1 complex	None	regulation of cAMP catabolic process	PDE4B;DISC1;
Ncstn-Psen1 complex	protein processing (proteolytic);protease activator;cellular signalling;eukaryotic plasma membrane / membrane attached;Golgi	protein processing;peptidase activator activity;signaling;plasma membrane;Golgi apparatus	PSEN1;NCSTN;
BAG3-HSC70-HSPB8-CHIP complex	protein folding and stabilization;stress response	protein stabilization;protein folding;response to stress	BAG3;HSPA8;HSPB8;STUB1;
LKB1-STRAD-MO25 complex	"modification by phosphorylation, dephosphorylation, autophosphorylation;protein modification"	protein phosphorylation;protein dephosphorylation;protein autophosphorylation;cellular protein modification process	STK11;STRADA;CAB39;
APP-DR6 complex	None	None	TNFRSF21;APP;
DISC1-ZNF365	None	None	NONE;
DISC1-ZNF365 complex	neurogenesis	neurogenesis;generation of neurons	ZNF365;DISC1;
DISC1-IMMT complex	None	None	DISC1;IMMT;
Xanthine oxidase	purine nucleotide /nucleoside/nucleobase catabolism	purine nucleotide catabolic process;molybdenum ion binding;hypoxanthine oxidation;xanthine oxidation;NAD+ binding	XDH;
ESR1-SP1 complex	None	None	ESR1;SP1;
ESR1-CEBPB complex	None	None	ESR1;CEBPB;
ESR1-GRIP1 complex	None	None	ESR1;GRIP1;
TRA2B1-SRp30c-SRp55 complex	regulation of splicing	"regulation of RNA splicing;regulation of mRNA splicing, via spliceosome"	TRA2B;SRSF9;SRSF6;
SRp30c-SRp55 complex	regulation of splicing	"regulation of RNA splicing;regulation of mRNA splicing, via spliceosome"	SRSF9;SRSF6;
PAS (PIKfyve-ArPIKfyve-Sac3) complex	endocytosis	phosphatidylinositol biosynthetic process;endocytosis;phosphatidylinositol-mediated signaling	VAC14;FIG4;PIKFYVE;
CST complex	None	single-stranded DNA binding;telomere maintenance	CTC1;TEN1;OBFC1;
c-Abl-cortactin-nmMLCK complex	cytoskeleton/structural proteins	cytoskeleton organization;establishment of endothelial barrier	ABL1;CTTN;MYLK;
Mcl1-1-Her2 complex	None	response to hypoxia	ERBB2;MCL1;
HSPA2-ACR-PDIA6 complex	None	regulation of acrosome reaction	ACE;HSPA2;PDIA6;
BAG6-HSPA2 complex	None	spermatogenesis;regulation of protein folding	BAG6;HSPA2;
ACAP1-CHC-Glut4 complex	None	endocytic recycling	SLC2A4;CLTC;ACAP1;
CART complex	None	transferrin receptor activity;receptor recycling;endocytic recycling	HGS;ACTN4;TRIM3;MYO5B;
AFF4 super elongation complex (SEC)	transcription elongation	"DNA-templated transcription, elongation"	ELL2;CCNT1;CCNT2;MLLT3;CDK9;AFF1;ELL;MLLT1;EAF1;ELL3;AFF4;
MCPIP1-MCPIP4 complex	inflammatory response	inflammatory response	ZC3H12D;ZC3H12A;
Atp7a-PAM complex	None	copper ion transport;copper ion homeostasis	PAM;ATP7A;
ERbeta-AR complex	transcriptional control	"regulation of transcription, DNA-templated"	AR;ESR2;
Seipin-AGPAT2 complex	"lipid, fatty acid and isoprenoid metabolism"	regulation of adipose tissue development;lipid biosynthetic process	AGPAT2;BSCL2;
Seipin-AGPAT2-lipin1 complex	"lipid, fatty acid and isoprenoid metabolism"	regulation of adipose tissue development;lipid biosynthetic process	AGPAT2;LPIN1;BSCL2;
Seipin-lipin1 complex	None	None	LPIN1;BSCL2;
NF-YA-LaminA complex	cell cycle	cell cycle;cell proliferation	LMNA;NFYA;
c-Jun-ATF3 complex	transcriptional control	"regulation of transcription, DNA-templated"	JUN;ATF3;
Trim27-Slx2 complex	None	spermatid development;regulation of meiosis I	TRIM27;1700013H16;
SIRT1-HERC2-LKB1 complex	None	regulation of blood vessel remodeling	HERC2;SIRT1;STK11;
PLEKHA7-PDZD11 complex	None	adherens junction	PDZD11;PLEKHA7;
alphaB-crystallin-Nav1.5 complex	None	regulation of voltage-gated sodium channel activity;regulation of protein ubiquitination	CRYAB;SCN5A;
MEF2-NR2F2 complex	None	regulation of steroid metabolic process	NR2F2;MEF2A;
ZP3-ACR complex	None	acrosome reaction;regulation of hydrolase activity;acrosomal matrix	ZP3;BOVINE PRO;
ZP3-MFGE8 protein	None	acrosome reaction;regulation of hydrolase activity;acrosomal matrix	ZP3;MFGE8;
ZP3-SPACA3 complex	None	acrosome reaction;regulation of hydrolase activity;acrosomal matrix	SPACA3;ZP3;
ZP3-IZUMO1 complex	None	regulation of acrosome reaction	ZP3;IZUMO1;
proMBP-angiotensinogen complex	None	regulation of blood pressure;female pregnancy	AGT;PRG2;
PAPP-A-proMBP complex	None	female pregnancy	PRG2;PAPPA;
CCT-gelsolin complex	None	cell motility	TCP1;GSN;
KGF-KITLG complex	None	ovarian follicle development	KGF;KITLG;
proMBP-angiotensinogen-c3dg complex	None	regulation of blood pressure;female pregnancy	AGT;C3;PRG2;
STIM1-TRPV4 complex	None	regulation of calcium ion transport	STIM1;TRPV4;
FHF complex	"vesicular transport (Golgi network, etc.);vesicle fusion"	vesicle-mediated transport;vesicle fusion;endosomal transport	HOOK3;FAM160A2;HOOK2;AKTIP;HOOK1;
Drd3-Slc6a complex	None	regulation of dopamine uptake involved in synaptic transmission	DRD3;SLC6A3;
protein phosphatase 2A C-subunit-synapsin complex	None	modulation of synaptic transmission	SYN1;PPP2CA;
DGAT2-MGAT2 complex	None	triglyceride biosynthetic process	MGAT2;DGAT2;
BAG1-HSC70 complex	protein folding and stabilization	protein folding	HSPA8;BAG1;
BAG1-HSP70 complex	protein folding and stabilization	protein folding	HSPA1A;BAG1;
Hook1-Vps16 complex	None	endosomal transport	VPS16;HOOK1;
Hook1-Vps18 complex	None	endosomal transport	VPS18;HOOK1;
Hook1-Vps39 complex	None	endosomal transport	VPS39;HOOK1;
Hook1-Vps41 complex	None	endosomal transport	VPS41;HOOK1;
Hook2-Vps16 complex	None	endosomal transport	HOOK2;VPS16;
Hook2-Vps41 complex	None	endosomal transport	VPS41;HOOK2;
Hook3-Vps16 complex	None	endosomal transport	HOOK3;VPS16;
Hook3-Vps41 complex	None	endosomal transport	VPS41;HOOK3;
FTS-Vps16 complex	None	endosomal transport	VPS16;AKTIP;
FTS-Vps18 complex	None	endosomal transport	AKTIP;VPS18;
FTS-Vps41 complex	None	endosomal transport	VPS41;AKTIP;
DAXX-MDM2-USP7 complex	None	"DNA damage response, detection of DNA damage;regulation of proteasomal protein catabolic process;nucleoplasm"	MDM2;USP7;DAXX;
DCN-MFAP2-ELN complex	None	elastic fiber assembly	ELN;DCN;MFAP2;
CBP80/20- dependent translation complex	None	None	CTIF;EIF4A3;NCBP2;EIF3B;NCBP1;UPF3B;
Dynactin	None	dynein binding;mitotic interphase;organelle localization;spindle pole body localization	CAPZA1;ACTR1B;DCTN1;DCTN4;ACTB;CAPZB;DCTN3;DCTN6;ACTR1A;ACTR10;DCTN5;DCTN2;CAPZA2;
SELK multiprotein complex	unfolded protein response (e.g. ER quality control)	endoplasmic reticulum unfolded protein response;ERAD pathway	RPN1;RPN2;CANX;DDOST;STT3A;VCP;VIMP;DERL1;DERL2;SELK;
MINOS complex	None	inner mitochondrial membrane organization	IMMT;MINOS1;CHCHD3;
RFX5-RFXANK-RFXAP complex	None	"transcription factor activity, sequence-specific DNA binding"	RFXAP;RFXANK;RFX5;
Rs1 homooctamer complex	visual transduction;cell adhesion	visual perception;retina layer formation;adaptation of rhodopsin mediated signaling;cell adhesion	RS1;
Ferritin complex	immune response	cellular iron ion homeostasis;immune response;iron ion transport	FTL;FTH1;
USP7-MAGEL2-TRIM27 complex	None	endosomal transport	TRIM27;USP7;MAGEL2;
GM-CSF receptor complex	None	granulocyte colony-stimulating factor signaling pathway;cytokine receptor activity	CSF2;CSF2RA;CSF2RB;
STEAP1-STEAP2 complex	endocytosis	endocytosis;iron ion homeostasis	STEAP1;STEAP2;
STEAP1 homotrimer complex	endocytosis	iron ion homeostasis;endocytosis	STEAP1;
Cdt1-Geminin complex	None	regulation of DNA replication	GMNN;CDT1;
Importin alpha-CAS-RanGTP complex	nucleus;protein transport;cytoplasm	nucleocytoplasmic transport;nucleus;protein transport;cytoplasm;protein export from nucleus;transmembrane transport	KPNA2;CSE1L;RAN;
KPNB1-RAN complex	nucleus;cytoplasm	nucleocytoplasmic transport;protein export from nucleus;nucleus;cytoplasm;transmembrane transport	RAN;KPNB1;
CENP-T-W complex	chromosome segregation/division;DNA binding;centromere/kinetochore complex maturation	chromosome segregation;DNA binding;kinetochore assembly	CENPW;CENPT;
CENP-S-X complex	chromosome segregation/division;DNA binding;centromere/kinetochore complex maturation	chromosome segregation;DNA binding;kinetochore assembly	STRA13;APITD1;
CENP-T-W-S-X heterotetramer complex	centromere/kinetochore complex maturation;DNA binding;chromosome segregation/division	kinetochore assembly;DNA binding;chromosome segregation	STRA13;CENPW;APITD1;CENPT;
BAFL-BAF-LAP2beta complex	None	None	BANF1;TMPO;BANF2;
BAFL-BAF complex	None	None	BANF1;BANF2;
"Codanin-1-Asf1\u2013histone H3.1-histone H4\u2013importin-4 complex,  cytosolic"	DNA synthesis and replication	chromatin assembly;DNA replication	HIST1H4A;;HIST1H3A;;CDAN1;IPO4;ASF1A;
PRKAA2-PRKAB2-PRKAG3 complex	None	AMP-activated protein kinase activity;skeletal muscle adaptation	PRKAB2;PRKAA2;PRKAG3;
PRKAA1-PRKAB2-PRKAG1 complex	None	AMP-activated protein kinase activity	PRKAB2;PRKAG1;PRKAA1;
PRKAA2-PRKAB2-PRKAG1 complex	None	AMP-activated protein kinase activity;skeletal muscle adaptation	PRKAB2;PRKAG1;PRKAA2;
GNAI1-Gnb1-Gng2 complex	G-protein coupled receptor signalling pathway	G-protein coupled receptor signaling pathway	GNB1;GNAI1;GNG2;
TRIAL-DR5 complex	apoptosis (type I programmed cell death)	apoptotic process	TNFRSF10B;TNFSF10;
LPP-PPP2CA-PPP2R3A complex	None	focal adhesion	PPP2CA;LPP;PPP2R3D;
hTREX84 complex	None	mRNA export from nucleus	THOC5;THOC7;THOC6;THOC2;THOC1;THOC3;
BBSome	None	cilium organization;intraciliary transport;cilium	BBIP1;BBS9;BBS7;BBS5;BBS1;TTC8;BBS4;BBS2;
ACK1 signaling complex	cellular signalling	signaling	CRK;BCAR1;CDC42;TNK2;
BBSome core complex	None	cilium	BBS9;BBS7;BBS1;BBS2;
BBSome linker complex	None	cilium	BBIP1;TTC8;BBS4;
Exocyst EXOC5-EXOC6 subcomplex	None	None	EXOC5;EXOC6;
Exocyst EXOC5-EXOC6-EXOC7 subcomplex	None	None	EXOC5;EXOC6;EXOC7;
Angiogenin-PRI complex	None	regulation of angiogenesis	ANG;RNH1;
STRIPAK complex	None	None	STRN;PPP2R1A;PPP2CA;STRIP1;MOB4;
Intraflagellar transport complex B	None	intraciliary transport;cilium	TTC26;IFT88;IFT20;TTC30B;CLUAP1;TRAF3IP1;IFT81;IFT74;IFT27;IFT22;IFT46;IFT57;IFT80;IFT172;IFT52;HSPB11;
Intraflagellar transport complex B core complex	None	cilium;intraciliary transport	TTC26;IFT88;TTC30B;IFT81;IFT74;IFT27;IFT22;IFT46;IFT52;HSPB11;
Intraflagellar transport complex B peripheral subcomplex	None	cilium	IFT20;CLUAP1;TRAF3IP1;IFT57;IFT80;IFT172;
Caspase-10-SUMO-FADD/Drp1 complex	mitochondrion	necroptotic process;mitochondrion	DNM1L;FADD;CASP10;
CDCP1-Src-EGFR complex	EGF-receptor signalling pathway	epidermal growth factor receptor signaling pathway	EGFR;SRC;CDCP1;
PPARgamma-pERK complex	None	peroxisome proliferator activated receptor signaling pathway;regulation of ERK1 and ERK2 cascade	PPARG;MAPK1;
LUBAC complex	NIK-I-kappaB/NF-kappaB cascade;innate immune response (invertebrates and vertebrates)	protein K63-linked ubiquitination;I-kappaB kinase/NF-kappaB signaling;innate immune response	RNF31;RBCK1;SHARPIN;
mGluR5-PP2A complex	None	None	GRM5;PPP2CA;
PPP2R1A-PPP2R3B complex	"modification by phosphorylation, dephosphorylation, autophosphorylation"	protein dephosphorylation	PPP2R1A;PPP2R3B;
LRP-PS1 complex	None	gamma-secretase complex	PSEN1;LRP4;
PP2A A/C-striatin complex	"modification by phosphorylation, dephosphorylation, autophosphorylation;Ca2+ mediated signal transduction"	protein dephosphorylation;calcium-mediated signaling	STRN;PPP2R1A;PPP2CA;
PP2A A/C-SG2NA complex	"modification by phosphorylation, dephosphorylation, autophosphorylation;Ca2+ mediated signal transduction"	protein dephosphorylation;calcium-mediated signaling	PPP2R1A;PPP2CA;STRN3;
AuroraB-AuroraC-INCENP complex	protein folding and stabilization	protein stabilization	AURKA;AURKB;INCENP;
SAPCD2-Galphai-LGN complex	None	establishment of mitotic spindle orientation;asymmetric cell division	GNAI1;GPSM2;SAPCD2;
ArPIKfyve-Sac3-Sph1 complex	protein folding and stabilization	protein stabilization	FIG4;PIKFYVE;SNCAIP;
STIP-USP7-Mdm2 complex	protein folding and stabilization	protein stabilization	MDM2;USP7;TFIP11;
STIP-USP7-p53 complex	protein folding and stabilization	protein stabilization;nucleoplasm	TP53;USP7;TFIP11;
ArgRS-GlnRS-AIMP1 complex	None	tRNA aminoacylation for protein translation;aminoacyl-tRNA synthetase multienzyme complex	QARS;RARS;AIMP1;
p38gamma-Hsp90-K-Ras complex	None	regulation of cell growth	KRAS;HSP90AB1;MAPK12;
IGF2-IGFBP2 complex	None	regulation of osteoblast differentiation;heparin binding	IGF2;IGFBP2;
CHDH-SQSTM1-MAP1LC3 complex	None	positive regulation of mitophagy in response to mitochondrial depolarization	SQSTM1;CHDH;MAP1LC3A;
ADAM12-alphaVbeta3-integrin-MMP-14 complex	None	regulation of apoptotic process	ADAM12;ITGB3;ITGAV;MMP14;
Stargazin-AP-2-AP-3a complex	None	regulation of alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate selective glutamate receptor activity	AP3D1;AP2A1;CACNG2;
Stargazin-Glu1-mu2 complex	None	regulation of alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate selective glutamate receptor activity	GRIA1;AP2M1;CACNG2;
Stargazin-Glu1-mu3 complex	None	regulation of alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate selective glutamate receptor activity	GRIA1;AP3M2;CACNG2;
Stargazin-Glu2A-mu2 complex	None	regulation of alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate selective glutamate receptor activity	GRIA2;AP2M1;CACNG2;
Stargazin-Glu2A-mu3 complex	None	regulation of alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate selective glutamate receptor activity	GRIA2;AP3M2;CACNG2;
Axin-TNKS2-KIF3A complex	None	regulation of glucose transport	AXIN1;KIF3A;TNKS2;
Dock3-Elmo-RhoG complex	None	regulation of brain-derived neurotrophic factor receptor signaling pathway;regulation of neurotrophin TRK receptor signaling pathway	RHOG;ELMO1;DOCK3;
S100A10-annexin A2-AHNAK	None	plasma membrane repair	ANXA2;AHNAK;S100A10;
TFAP2C-Myc-KDM5B complex	None	regulation of cell cycle process	MYC;TFAP2C;KDM5B;
Kremen1-AP-2 complex	None	regulation of Wnt signaling pathway	TFAP2A;KREMEN1;
Dkk1-Lrp6-Kremen2 complex	None	regulation of Wnt signaling pathway	DKK1;LRP6;KREMEN2;
ICAT-AR-beta-catenin complex	None	regulation of Wnt signaling pathway;regulation of androgen receptor activity	AR;CTNNB1;CTNNBIP1;
beta2AR-Gs complex	None	regulation of G-protein coupled receptor protein signaling pathway	GNAS;ADRB2;
PNP homotrimer	None	purine nucleoside metabolic process;purine-nucleoside phosphorylase activity	PNP;
MT1-G(i)-RGS20 complex	None	"G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger"	RGS20;MTNR1A;GNAI1;
RSG20-MT1-MT2 complex	None	regulation of inward rectifier potassium channel activity	RGS20;MTNR1A;MTNR1B;
GM130-GRASP65 complex	ER to Golgi transport	ER to Golgi vesicle-mediated transport;vesicle tethering to Golgi	GOLGA2;GORASP1;
DOCK8-WIP-WASp complex	actin cytoskeleton;cytokinesis (cell division) /septum formation and hydrolysis	actin cytoskeleton;T cell receptor binding;cytokinesis;immunological synapse formation;T cell migration	WIPF1;WAS;DOCK8;
Dock8-Wipf1-Was complex	actin cytoskeleton;cytokinesis (cell division) /septum formation and hydrolysis	actin cytoskeleton;T cell receptor binding;cytokinesis;immunological synapse formation;T cell migration	WAS;DOCK8;WIPF1;
GATOR1 complex	GTPase activator (GAP)	regulation of cellular response to amino acid starvation;negative regulation of TORC1 signaling;GTPase activator activity	DEPDC5;NPRL3;NPRL2;
GATOR2 complex	None	regulation of TORC1 signaling	SEC13;WDR59;SEH1L;WDR24;MIOS;
GATOR complex	None	regulation of TORC1 signaling;regulation of cellular response to amino acid starvation	DEPDC5;SEC13;NPRL3;WDR59;NPRL2;SEH1L;WDR24;MIOS;
POL2R-SYMPK-SSU72 complex	None	regulation of mRNA polyadenylation	POLR2A;SYMPK;SSU72;
DGKZ-RASGRP1-HRAS complex	None	Ras protein signal transduction	RASGRP1;HRAS;DGKZ;
HDAC10-PAX3-KAP1 complex	None	"regulation of melanin biosynthetic process;transcription factor activity, sequence-specific DNA binding"	PAX3;TRIM28;HDAC10;
Ccm2-Krit1-Ccm3 complex	angiogenesis	angiogenesis;regulation of cell migration involved in sprouting angiogenesis;regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis	KRIT1;CCM2;PDCD10;
CCM1-CCM2 complex	angiogenesis	angiogenesis;regulation of cell migration involved in sprouting angiogenesis;regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis	KRIT1;CCM2;
KRIT1-CCM2-ICAP1 complex	cell adhesion	cell adhesion	KRIT1;ITGB1BP1;CCM2;
KRIT1-CCM2-MEKK3 complex	None	regulation of p38MAPK cascade	KRIT1;MAP3K3;CCM2;
Heg1-Krit1-Ccm2 complex	vessels	heart formation;vasculature development	HEG1;KRIT1;CCM2;
Rab11a-FIP3-DLIC-1 complex	None	endosomal transport	RAB11A;DYNC1LI1;IKBKG;
S4-synectin-RhoGDI1 complex	None	regulation of GTPase activity;regulation of endothelial cell migration	RHOG;SDC4;GIPC1;
ULK1-ATG13-RB1CC1  complex	None	autophagosome organization;autophagy	ATG13;ULK1;RB1CC1;
ULK2-ATG13-RB1CC1 complex	None	autophagy;autophagosome organization	ATG13;ULK2;RB1CC1;
ULK1-ATG13-RB1CC1-ATG101 complex	None	autophagy	ATG13;ULK1;RB1CC1;ATG101;
c-Fos-c-Jun-SAF-1 complex	transcriptional control;DNA binding	"regulation of transcription, DNA-templated;DNA binding"	FOS;JUN;MAZ;
